industry,organization_size,cloud_environment,endpoint_protection_type,region,data_sensitivity_level,employee_count,annual_revenue_inr,exposed_assets,internet_facing_assets,critical_vulnerabilities,high_vulnerabilities,average_patch_delay_days,mfa_coverage_percent,edr_coverage_percent,backup_success_rate_percent,immutable_backup_enabled,network_segmentation_score,phishing_failure_rate_percent,security_awareness_training_score,mean_time_to_detect_hours,mean_time_to_respond_hours,previous_security_incidents,third_party_vendor_risk_score,cloud_security_posture_score,privileged_accounts_count,encryption_coverage_percent,security_budget_inr,ransomware_incident,phishing_incident,data_breach_incident,ddos_incident,ransomware_impact_inr,phishing_impact_inr,data_breach_impact_inr,ddos_impact_inr
Healthcare,Small (50-250),GCP Native,SentinelOne,APAC,Moderate (Internal Confidential),588,1794400255.21,1311,398,3,10,13.0,83.7,52.9,63.1,0,0.92,3.1,0.43,8.0,42.4,0,0.68,0.58,151,91.3,67370835.36,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Small (50-250),AWS Multi-Account,SentinelOne,European Union (GDPR),High (PII + Financial KYC),249,746401954.34,134,12,7,11,3.9,56.6,56.6,96.6,0,0.31,20.9,0.48,6.4,8.8,0,0.17,0.5,71,79.5,19023062.55,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),On-Premises Legacy,SentinelOne,APAC,Moderate (Internal Confidential),142,272843592.31,1124,267,2,8,23.1,75.1,55.0,69.3,0,0.28,21.3,0.53,33.9,19.4,0,0.56,0.77,20,60.6,9291015.68,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),GCP Native,SentinelOne,North America,Moderate (Internal Confidential),8032,14365002230.37,724,39,4,8,42.1,65.2,83.2,79.3,1,0.35,5.3,0.79,12.5,41.8,0,0.6,0.72,15,69.0,600003826.27,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Mid-Market (250-1000),Multi-Cloud Enterprise,CrowdStrike Falcon,APAC,Low (Public Data),532,1121423658.97,745,92,4,17,26.0,58.1,90.7,97.8,1,0.9,6.3,0.8,18.8,29.3,1,0.69,0.47,139,93.8,42659274.07,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Mid-Market (250-1000),GCP Native,Legacy Antivirus,European Union (GDPR),Moderate (Internal Confidential),516,1273234284.53,1379,313,5,9,18.0,91.7,57.8,85.2,1,0.41,12.7,0.98,21.4,73.4,0,0.61,0.62,46,65.8,44513199.74,0,0,1,0,0.0,0.0,17447587.89,0.0
E-Commerce & Retail,Enterprise (1000-5000),On-Premises Legacy,CrowdStrike Falcon,India (BFSI Regulated),Moderate (Internal Confidential),2042,5264296603.07,1127,210,1,7,23.7,49.5,54.3,69.9,0,0.66,22.1,0.72,26.3,53.0,2,0.19,0.34,87,52.5,164549868.32,0,0,0,1,0.0,0.0,0.0,24170833.72
Banking & Financial Services,Small (50-250),AWS Multi-Account,CrowdStrike Falcon,APAC,Critical (Cardholder / UPI Core),195,459863660.47,906,179,6,12,34.8,41.1,58.6,98.8,1,0.42,8.7,0.88,7.9,52.8,2,0.49,0.41,208,95.0,7387165.67,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Small (50-250),On-Premises Legacy,SentinelOne,APAC,Low (Public Data),244,689587976.92,797,197,9,10,12.5,61.2,95.7,92.2,0,0.74,14.0,0.66,10.0,14.8,0,0.73,0.45,229,75.5,22497253.6,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Multi-Cloud Enterprise,Legacy Antivirus,India (BFSI Regulated),Low (Public Data),8019,18885690337.41,829,99,3,8,30.2,51.7,56.5,72.4,0,0.67,7.7,0.77,11.7,111.8,1,0.57,0.46,70,87.9,540505992.65,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),On-Premises Legacy,SentinelOne,APAC,Moderate (Internal Confidential),8057,27334645666.15,173,23,2,6,57.7,87.9,82.3,83.7,0,0.92,13.7,0.44,34.6,97.1,0,0.26,0.34,75,72.5,683363192.69,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,European Union (GDPR),Moderate (Internal Confidential),540,1091846355.82,272,69,3,13,109.5,47.5,51.3,82.0,1,0.45,26.3,0.88,16.8,41.1,0,0.27,0.93,51,81.0,31363985.39,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),Azure Hybrid,CrowdStrike Falcon,India (BFSI Regulated),High (PII + Financial KYC),8074,22241805004.58,521,110,7,16,32.1,95.3,80.7,84.4,0,0.43,15.0,0.78,52.0,16.9,1,0.37,0.61,82,78.7,445695898.33,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Enterprise (1000-5000),GCP Native,Microsoft Defender for Endpoint,European Union (GDPR),Moderate (Internal Confidential),485,1320536600.5,467,25,1,17,51.7,49.9,58.2,64.8,1,0.78,29.2,0.76,5.7,10.3,0,0.51,0.95,180,54.8,27353122.75,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),Multi-Cloud Enterprise,Legacy Antivirus,European Union (GDPR),Moderate (Internal Confidential),154,317725014.34,1316,330,4,12,22.4,92.5,90.2,85.5,0,0.32,32.7,0.53,27.4,20.5,1,0.38,0.51,41,57.5,14223744.12,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),AWS Multi-Account,CrowdStrike Falcon,European Union (GDPR),Moderate (Internal Confidential),232,539023057.77,949,223,6,17,37.6,49.9,46.3,68.5,0,0.75,12.8,0.63,23.7,21.5,1,0.28,0.6,130,90.9,21249200.39,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Small (50-250),On-Premises Legacy,SentinelOne,North America,High (PII + Financial KYC),525,1171247300.41,844,62,1,19,17.0,42.8,72.0,72.6,1,0.78,22.9,0.53,16.5,63.4,0,0.58,0.69,206,56.1,44528929.46,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),AWS Multi-Account,CrowdStrike Falcon,India (BFSI Regulated),Moderate (Internal Confidential),8010,14778434941.53,873,239,4,18,9.9,68.8,80.8,81.5,0,0.84,11.4,0.81,10.3,84.4,3,0.72,0.4,94,64.6,572469349.09,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Large Enterprise (5000+),Multi-Cloud Enterprise,SentinelOne,North America,High (PII + Financial KYC),8081,19835545226.55,526,108,3,12,31.9,61.0,85.1,68.4,1,0.72,21.2,0.98,12.9,13.7,2,0.58,0.91,30,79.5,675342339.28,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Enterprise (1000-5000),On-Premises Legacy,Legacy Antivirus,North America,Moderate (Internal Confidential),559,1270788398.88,151,16,2,15,52.7,75.3,93.6,95.2,1,0.33,6.8,0.51,26.3,22.1,1,0.25,0.45,44,94.9,57065494.5,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),GCP Native,Microsoft Defender for Endpoint,APAC,High (PII + Financial KYC),192,356473866.27,1368,297,6,16,45.4,77.8,78.8,76.5,0,0.45,22.3,0.47,14.0,42.7,0,0.18,0.42,82,69.1,10072368.47,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Small (50-250),GCP Native,Microsoft Defender for Endpoint,India (BFSI Regulated),Moderate (Internal Confidential),570,1367863251.78,370,84,2,17,20.7,95.1,51.9,66.5,0,0.24,8.5,0.6,9.7,30.7,1,0.56,0.39,43,75.5,58015797.65,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Multi-Cloud Enterprise,SentinelOne,APAC,High (PII + Financial KYC),8073,18920592711.51,1126,367,3,13,30.7,96.2,84.1,62.4,1,0.76,15.6,0.69,29.6,77.9,0,0.84,0.73,92,97.4,490380901.99,0,0,0,1,0.0,0.0,0.0,78527182.14
Healthcare,Small (50-250),On-Premises Legacy,Microsoft Defender for Endpoint,North America,High (PII + Financial KYC),547,964214051.36,837,228,0,8,48.5,69.2,73.5,90.9,0,0.72,10.6,0.81,17.9,13.4,1,0.28,0.52,195,86.8,29699462.33,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),GCP Native,SentinelOne,APAC,Moderate (Internal Confidential),168,296079014.08,145,20,3,16,17.8,52.3,50.4,92.7,0,0.59,28.5,0.69,63.1,77.5,0,0.58,0.65,67,66.0,11076442.0,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Large Enterprise (5000+),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,European Union (GDPR),High (PII + Financial KYC),2059,5754935390.2,1257,107,6,4,33.4,54.6,52.6,63.2,0,0.93,8.8,0.97,11.9,21.0,0,0.48,0.59,64,86.5,164458459.05,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Large Enterprise (5000+),Multi-Cloud Enterprise,CrowdStrike Falcon,North America,Moderate (Internal Confidential),515,1500278228.86,854,261,2,7,37.0,45.9,89.7,81.4,1,0.44,33.8,0.83,36.4,142.7,1,0.73,0.4,228,66.8,40836883.22,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Mid-Market (250-1000),AWS Multi-Account,SentinelOne,European Union (GDPR),Low (Public Data),1986,6717368627.88,915,277,2,13,15.4,56.5,75.5,85.8,0,0.87,6.8,0.51,18.8,64.6,3,0.19,0.79,236,82.7,241453335.22,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,India (BFSI Regulated),Low (Public Data),564,944141290.84,974,99,5,12,7.2,93.8,53.5,95.9,0,0.34,16.2,0.57,30.6,64.0,0,0.46,0.46,118,58.9,15006820.82,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),On-Premises Legacy,Legacy Antivirus,APAC,High (PII + Financial KYC),8045,13963891412.37,481,33,6,15,32.2,61.5,87.6,61.9,0,0.92,27.6,0.87,11.1,11.5,1,0.36,0.36,126,54.6,359007797.14,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),GCP Native,CrowdStrike Falcon,North America,Moderate (Internal Confidential),8034,12883613688.22,644,169,1,13,71.2,77.1,76.7,73.7,1,0.42,6.7,0.91,10.2,8.1,1,0.32,0.55,80,69.3,397713669.8,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Small (50-250),GCP Native,SentinelOne,India (BFSI Regulated),Critical (Cardholder / UPI Core),2051,5259701022.96,124,33,3,6,30.3,97.9,54.0,64.7,1,0.8,13.1,0.71,48.6,17.6,0,0.67,0.91,31,59.7,111938697.09,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,European Union (GDPR),Low (Public Data),521,1430401972.1,1414,145,3,21,18.8,46.3,69.3,76.9,0,0.28,17.5,0.66,21.4,17.2,1,0.29,0.53,74,90.5,56935368.62,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Multi-Cloud Enterprise,CrowdStrike Falcon,APAC,Moderate (Internal Confidential),8006,18470217512.34,82,20,2,7,20.4,85.7,95.2,74.7,1,0.51,27.4,0.49,16.7,25.6,1,0.4,0.73,160,80.0,287074047.83,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,APAC,High (PII + Financial KYC),1981,6132788599.45,982,131,9,17,69.4,81.3,85.6,83.5,0,0.92,28.2,0.54,5.8,12.8,0,0.77,0.81,155,53.4,126571221.15,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Azure Hybrid,SentinelOne,North America,Critical (Cardholder / UPI Core),2049,5887594288.74,770,98,8,11,53.6,88.3,65.9,86.7,0,0.43,30.4,0.81,10.6,70.6,1,0.69,0.78,38,68.7,153696904.06,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),AWS Multi-Account,Microsoft Defender for Endpoint,APAC,High (PII + Financial KYC),483,1676821846.63,45,6,1,12,33.1,48.1,45.3,98.1,0,0.79,12.8,0.43,7.6,39.5,0,0.62,0.68,98,71.1,55600732.61,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),GCP Native,Legacy Antivirus,APAC,Moderate (Internal Confidential),8000,14206319732.79,20,4,3,9,58.4,69.6,57.2,66.4,0,0.56,3.5,0.75,25.1,5.9,0,0.41,0.38,167,90.6,347235610.58,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Small (50-250),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),1980,3200930030.8,113,32,3,14,14.7,77.3,54.8,91.6,1,0.65,26.0,0.53,21.1,22.5,0,0.61,0.92,181,93.6,143432552.06,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,SentinelOne,European Union (GDPR),Moderate (Internal Confidential),167,342284437.66,902,180,6,9,28.9,84.8,65.4,93.4,1,0.65,8.5,0.53,23.4,45.2,1,0.26,0.81,213,70.1,6672811.98,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),Multi-Cloud Enterprise,SentinelOne,European Union (GDPR),Moderate (Internal Confidential),189,290700973.83,471,65,3,15,12.8,82.0,92.7,82.3,1,0.63,15.5,0.64,26.3,23.2,1,0.59,0.93,192,89.4,9340858.31,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Enterprise (1000-5000),GCP Native,CrowdStrike Falcon,India (BFSI Regulated),Low (Public Data),8055,27106870102.93,1055,332,3,11,51.0,73.7,54.7,91.1,0,0.56,28.8,0.66,25.8,13.1,0,0.3,0.64,52,87.5,632769067.46,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),On-Premises Legacy,Microsoft Defender for Endpoint,India (BFSI Regulated),Low (Public Data),8070,17010779771.23,317,21,5,5,12.5,67.7,47.7,73.8,1,0.34,22.5,0.78,44.6,14.0,3,0.27,0.45,44,53.7,407423041.28,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Large Enterprise (5000+),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,APAC,Critical (Cardholder / UPI Core),143,372495027.75,1463,422,0,10,74.7,95.6,52.1,61.4,0,0.21,31.0,0.49,15.7,34.9,1,0.67,0.89,221,55.9,5764249.89,0,0,0,1,0.0,0.0,0.0,1684188.88
Healthcare,Large Enterprise (5000+),AWS Multi-Account,Microsoft Defender for Endpoint,India (BFSI Regulated),Moderate (Internal Confidential),2058,4396174608.93,1210,345,0,21,31.4,50.7,69.1,66.0,1,0.71,23.9,0.6,21.0,10.9,0,0.72,0.45,64,63.8,105456946.0,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Multi-Cloud Enterprise,CrowdStrike Falcon,North America,Moderate (Internal Confidential),567,1129246977.34,273,34,4,13,49.7,52.1,48.6,66.6,0,0.73,15.2,0.49,21.7,29.3,1,0.74,0.35,234,84.1,44904536.95,0,1,0,0,0.0,4731537.37,0.0,0.0
SaaS & Cloud Provider,Small (50-250),On-Premises Legacy,SentinelOne,European Union (GDPR),Low (Public Data),2061,3719547392.22,1337,146,1,12,7.5,46.6,75.1,94.6,1,0.78,4.1,0.71,28.4,19.9,0,0.2,0.32,224,54.9,85478643.77,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),Multi-Cloud Enterprise,CrowdStrike Falcon,India (BFSI Regulated),High (PII + Financial KYC),7996,17117291797.9,1187,370,4,11,26.6,46.6,59.8,97.8,1,0.9,3.5,0.51,25.4,46.1,0,0.24,0.31,227,80.9,551810418.73,0,1,0,0,0.0,133530615.71,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),AWS Multi-Account,SentinelOne,APAC,High (PII + Financial KYC),8052,21988706455.29,228,49,1,11,59.3,91.5,65.2,75.9,0,0.32,11.1,0.91,17.1,45.7,1,0.78,0.46,27,50.0,837143416.93,0,0,1,0,0.0,0.0,510185518.78,0.0
Healthcare,Large Enterprise (5000+),On-Premises Legacy,Legacy Antivirus,European Union (GDPR),High (PII + Financial KYC),526,1811145502.07,1269,80,4,9,5.2,75.8,53.4,85.9,0,0.87,23.7,0.43,7.2,153.4,1,0.42,0.44,63,82.7,69960513.04,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Large Enterprise (5000+),On-Premises Legacy,Microsoft Defender for Endpoint,India (BFSI Regulated),Critical (Cardholder / UPI Core),2061,5391955390.39,926,293,4,12,34.4,95.2,85.3,72.0,0,0.38,25.9,0.73,9.7,24.9,0,0.66,0.89,7,96.9,235181255.4,0,0,0,1,0.0,0.0,0.0,28501820.25
Banking & Financial Services,Enterprise (1000-5000),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,European Union (GDPR),High (PII + Financial KYC),535,1372498700.73,303,46,3,10,28.0,92.3,65.6,77.6,1,0.61,14.0,0.81,15.3,76.3,0,0.39,0.53,63,92.8,46870468.94,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),On-Premises Legacy,CrowdStrike Falcon,India (BFSI Regulated),Critical (Cardholder / UPI Core),2032,3191308905.58,1154,176,2,11,40.4,57.7,51.2,84.5,1,0.39,30.1,0.92,16.7,53.9,1,0.3,0.33,20,87.9,140292117.23,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Small (50-250),Multi-Cloud Enterprise,Legacy Antivirus,APAC,Moderate (Internal Confidential),1997,6350855468.58,369,89,6,9,37.1,77.8,64.5,93.8,1,0.3,33.2,0.54,20.4,14.1,0,0.81,0.81,246,63.9,123508116.37,0,0,1,0,0.0,0.0,109566994.35,0.0
Banking & Financial Services,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,India (BFSI Regulated),Critical (Cardholder / UPI Core),198,314757184.5,1376,341,4,9,31.3,62.4,98.1,76.9,1,0.24,12.5,0.79,13.4,131.8,0,0.3,0.77,40,52.5,6209471.54,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),On-Premises Legacy,Microsoft Defender for Endpoint,India (BFSI Regulated),Moderate (Internal Confidential),2027,6714365639.22,1123,175,1,12,29.0,91.7,83.6,87.6,0,0.46,14.3,0.81,43.4,37.0,1,0.59,0.42,184,93.4,204860018.39,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),Multi-Cloud Enterprise,None,India (BFSI Regulated),High (PII + Financial KYC),7988,20587819484.3,1429,132,4,16,14.4,83.3,91.9,69.8,0,0.93,16.0,0.73,19.0,117.8,0,0.39,0.59,12,56.0,814424977.39,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Enterprise (1000-5000),GCP Native,Microsoft Defender for Endpoint,European Union (GDPR),Low (Public Data),8033,14756084479.69,1447,312,3,21,8.6,47.3,93.2,73.0,0,0.55,11.9,0.89,3.3,13.4,1,0.8,0.53,86,52.0,600056304.77,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),On-Premises Legacy,SentinelOne,India (BFSI Regulated),Low (Public Data),8014,19260966079.08,1371,325,3,12,35.9,54.9,74.6,68.7,0,0.23,23.7,0.67,12.9,71.3,1,0.72,0.8,159,78.2,547571457.11,0,0,0,1,0.0,0.0,0.0,89195289.11
Critical Infrastructure,Mid-Market (250-1000),GCP Native,Microsoft Defender for Endpoint,India (BFSI Regulated),Moderate (Internal Confidential),237,827122643.84,1337,411,3,11,45.3,78.8,75.1,94.2,0,0.71,32.1,0.81,12.5,8.2,1,0.33,0.68,18,76.2,36391317.46,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),On-Premises Legacy,CrowdStrike Falcon,India (BFSI Regulated),Low (Public Data),599,1263989256.75,203,39,7,10,4.6,54.5,94.0,64.7,1,0.35,16.7,0.51,21.0,4.6,1,0.44,0.42,14,58.8,54283623.3,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),AWS Multi-Account,SentinelOne,European Union (GDPR),High (PII + Financial KYC),8025,16362329285.2,231,56,2,12,43.4,71.5,92.2,90.4,0,0.24,8.8,0.96,16.8,178.8,3,0.53,0.81,140,75.5,432604980.46,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,CrowdStrike Falcon,APAC,Moderate (Internal Confidential),7980,13853374084.88,1294,85,4,9,60.3,54.4,83.7,85.0,0,0.79,9.2,0.76,19.4,71.2,1,0.18,0.68,72,62.5,418560342.16,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),Multi-Cloud Enterprise,SentinelOne,APAC,High (PII + Financial KYC),520,1401028042.74,186,59,5,10,8.9,80.3,89.4,85.7,0,0.53,26.1,0.83,45.2,100.0,0,0.37,0.84,134,87.6,40804006.37,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),Azure Hybrid,CrowdStrike Falcon,APAC,Critical (Cardholder / UPI Core),202,339047707.6,1205,178,8,17,51.0,44.4,85.0,94.6,1,0.93,26.5,0.57,21.1,26.1,0,0.61,0.87,119,91.0,14949210.37,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Large Enterprise (5000+),AWS Multi-Account,Legacy Antivirus,India (BFSI Regulated),High (PII + Financial KYC),2011,6097384432.62,1316,315,5,10,71.2,82.6,61.6,81.0,0,0.74,18.2,0.65,239.6,19.9,2,0.2,0.85,179,65.8,238521501.16,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),563,1879545677.14,894,290,6,15,47.3,59.9,51.5,63.0,1,0.42,27.3,0.5,35.0,55.9,1,0.36,0.4,32,96.7,57444188.4,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),GCP Native,Microsoft Defender for Endpoint,APAC,High (PII + Financial KYC),2056,6915854009.32,1462,428,3,11,56.3,66.8,83.7,96.8,0,0.94,19.3,0.95,16.1,13.7,1,0.61,0.89,13,69.2,109230568.93,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),GCP Native,Microsoft Defender for Endpoint,APAC,Moderate (Internal Confidential),2019,3464265829.12,426,102,4,18,41.1,68.5,93.9,73.3,1,0.85,12.8,0.93,23.5,13.7,0,0.31,0.39,39,95.6,55510974.72,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Azure Hybrid,Microsoft Defender for Endpoint,APAC,Critical (Cardholder / UPI Core),1990,5206885137.46,1435,374,1,18,7.3,51.5,97.8,61.2,1,0.44,7.5,0.49,90.4,20.7,3,0.31,0.42,188,78.0,115556988.67,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Large Enterprise (5000+),Multi-Cloud Enterprise,CrowdStrike Falcon,North America,Low (Public Data),541,916572863.0,457,149,0,15,30.3,95.6,47.6,81.1,0,0.42,19.5,0.54,4.8,70.0,1,0.29,0.84,24,57.9,33357666.74,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),On-Premises Legacy,Microsoft Defender for Endpoint,European Union (GDPR),Moderate (Internal Confidential),525,1388116948.56,1130,331,5,9,15.9,40.0,79.4,74.2,1,0.58,29.8,0.71,35.3,14.0,2,0.71,0.83,119,71.0,32999686.87,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),Azure Hybrid,CrowdStrike Falcon,North America,High (PII + Financial KYC),2027,6344431292.44,424,98,8,9,39.2,62.0,78.3,96.0,0,0.61,32.6,0.47,45.7,74.0,1,0.69,0.56,65,66.6,102019447.75,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Azure Hybrid,Microsoft Defender for Endpoint,India (BFSI Regulated),High (PII + Financial KYC),172,442999815.83,294,72,6,14,41.0,47.6,64.9,80.2,0,0.63,4.9,0.74,8.7,46.9,0,0.66,0.41,243,89.0,15800939.25,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Large Enterprise (5000+),Azure Hybrid,Microsoft Defender for Endpoint,APAC,Moderate (Internal Confidential),180,583939377.4,1458,137,5,11,4.3,61.2,74.8,62.1,1,0.36,32.4,0.55,10.7,47.7,0,0.73,0.44,50,89.1,18709058.87,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Small (50-250),Azure Hybrid,Microsoft Defender for Endpoint,India (BFSI Regulated),Critical (Cardholder / UPI Core),190,589636254.84,581,111,3,12,29.4,46.1,69.6,69.4,1,0.24,8.7,0.77,11.2,8.9,1,0.24,0.93,30,91.0,24773049.85,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Large Enterprise (5000+),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),8097,16623923978.93,1370,192,3,9,12.0,62.3,94.9,68.8,0,0.61,22.3,0.45,64.0,19.5,1,0.62,0.35,121,54.4,701749948.55,0,0,1,0,0.0,0.0,137951462.44,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),Multi-Cloud Enterprise,None,India (BFSI Regulated),Moderate (Internal Confidential),2021,5578373427.41,131,23,5,14,38.6,51.4,61.2,90.2,0,0.65,17.0,0.49,18.3,27.8,2,0.49,0.54,106,52.4,250110617.26,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),AWS Multi-Account,Microsoft Defender for Endpoint,India (BFSI Regulated),High (PII + Financial KYC),8005,12126168144.88,811,201,7,11,31.3,72.7,54.7,62.6,0,0.92,25.4,0.71,9.1,43.1,0,0.37,0.71,109,94.7,290468462.02,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),On-Premises Legacy,CrowdStrike Falcon,APAC,High (PII + Financial KYC),233,534055532.82,321,30,4,14,116.9,40.7,81.3,72.9,1,0.61,20.0,0.8,4.2,19.8,2,0.42,0.8,102,60.9,12759455.37,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Large Enterprise (5000+),AWS Multi-Account,Microsoft Defender for Endpoint,European Union (GDPR),Critical (Cardholder / UPI Core),490,968200964.43,155,8,3,11,75.9,69.9,60.4,86.5,0,0.32,15.5,0.74,36.1,120.8,0,0.51,0.74,236,68.4,42971055.8,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),Azure Hybrid,Legacy Antivirus,India (BFSI Regulated),High (PII + Financial KYC),154,519631834.55,352,59,4,8,23.0,56.7,48.0,84.2,0,0.43,5.3,0.58,18.2,26.6,0,0.44,0.53,98,74.7,22955070.89,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,CrowdStrike Falcon,North America,High (PII + Financial KYC),8019,18530128970.02,1046,153,3,18,13.1,59.0,88.3,85.6,0,0.24,3.8,0.74,36.8,43.7,0,0.26,0.45,66,96.5,390197277.85,0,0,0,1,0.0,0.0,0.0,55896656.71
